"ClusterId","OriginalString"
"1","Rodriguez and Sons & Fores Zoomlounge GmbH & Co KG"
"1","Rodriguez and Sons & Cluer Zoomlounge AG"
"2","Nader LLC & Temprell Rhynoodle Gesellschaft mit beschränkter Haftung"
"2","Sauer LLC & Temprell Rhynoodle Gesellschaft mit beschränkter Haftung"
"3","Dietrich LLC & Wontner Gigaclub KG"
"3","Dietrich Inc & Henner Gigaclub SE"
"4","O'Reilly Group & Glaserman Skidoo GmbH & Co KG"
"4","OReilly Group & Glaserman Skidoo GmbH & Co KG"
"5","Predovic and Sons & Preene Gigabox Gesellschaft mit beschränkter Haftung"
"5","Predovic and Sons & Stennes Gigabox SE"
"6","Goyette-Block & Swannick Reallinks Gesellschaft mit beschränkter Haftung"
"6","Goyette-Block u. Swannick Reallinks GmbH"
"7","Gusikowski Group & Grint Brainbox AG"
"7","Gusikowski LLC & Grgic Brainbox SE"
"8","Jakubowski and Sons & Mullane Twitterwire Gesellschaft mit beschränkter Haftung"
"8","Jakubowski and Sons & Mendus Twitterwire GmbH"
"9","Bechtelar and Sons & Pech Jatri SE"
"9","Bechtelar and Sons & Kesey Jatri KG"
"10","Fisher-Aufderhar & Glaze Meevee SE"
"10","Fisher-Aufderhar & Alpine Meevee SE"
"11","Cummerata Group & Andre Wikizz AG"
"11","Cummerata Inc & Yanele Wikizz GbR"
"12","Kling Inc & Woods Fatz KG"
"12","Kling Group & Rooms Fatz GmbH"
"13","Schmeler LLC & Arends Voomm SE"
"13","Schmeler Group & Reed Voomm GmbH & Co KG"
"14","Kulas and Sons & Gert Feedmix KG"
"14","Kulas and Sons & Hegg Feedmix GmbH"
"15","Kovacek Inc & Aguirre Skimia GmbH"
"15","Kovacek Group & Arguile Skimia Gesellschaft mit beschränkter Haftung"
"16","Halvorson Group & Eyres Twinte Gesellschaft mit beschränkter Haftung"
"16","Halvorson Group & Eyres Twinte Gesellschaft mit beschränkter Haftung"
"17","Becker LLC & Glaze Jaxnation AG"
"17","Becker LLC & Blaze Jaxnation GmbH & Co KG"
"18","Prosacco Inc & Chawkley Dynabox KG"
"18","Prosacco Group & Hazley Dynabox KG"
"19","Schowalter Group & Sopp Fadeo GmbH & Co KG"
"19","Schowalter Group & Sholl Fadeo GmbH"
"20","Kris and Sons & Deuss Demivee Gesellschaft mit beschränkter Haftung"
"20","Kris and Sons & Sales Demivee GmbH"
"21","Balistreri Group & Klausen Edgeify Gesellschaft mit beschränkter Haftung"
"21","Balistreri Inc & Spaule Edgeify GbR"
"22","Torphy Inc & Gaines Gigabox KG"
"22","Torphy Inc & Guinness Gigabox GmbH"
"23","Cartwright Group & Goudge Skyndu SE"
"23","Cartwright LLC & Goudge Skinix GmbH & Co KG"
"24","Wolff LLC & Jahns Twitterlist GmbH & Co KG"
"24","Wolff Group & John Twitterlist Gesellschaft mit beschränkter Haftung"
"25","DuBuque LLC & Frick Gevee AG"
"25","DuBuque LLC & Chick Gevee KG"
"26","Abernathy and Sons & Penn Photobug SE"
"26","Abernathy and Sons & Main Photobug GmbH & Co KG"
"27","Harber Inc & Cobbin Meetz Gesellschaft mit beschränkter Haftung"
"27","Harber Group & Cubbon Meetz GmbH"
"28","Littel Group & Ferriere Edgeclub Gesellschaft mit beschränkter Haftung"
"28","Little LLC & Ferriere Edgeclub Gesellschaft mit beschränkter Haftung"
"29","Krajcik Inc & Hallett Edgewire GbR"
"29","Krajcik Group & Hackett Edgewire KG"
"30","Gislason Group & Geeve Podcat AG"
"30","Gislason LLC & Feeley Podcat GbR"
"31","Lowe Group & Malkin Photobug KG"
"31","Lowe Group & Armin Photobug Gesellschaft mit beschränkter Haftung"
"32","Stoltenberg LLC & Heasly Meevee Gesellschaft mit beschränkter Haftung"
"32","Stoltenberg Inc & Delhay Meevee AG"
"33","Schimmel and Sons & Munford Yadel GmbH & Co KG"
"33","Schimmel and Sons & Monro Yadel GmbH"
"34","Oberbrunner LLC & Southan Wikizz Gesellschaft mit beschränkter Haftung"
"34","Oberbrunner LLC & Southby Wikizz GbR"
"35","Nitzsche and Sons & Gregon Zoomlounge Gesellschaft mit beschränkter Haftung"
"35","Nitzsche and Sons & Gregol Zoomlounge KG"
"36","Schmidt Inc & Natt Photofeed AG"
"36","Schmidt Group & Cato Photofeed GmbH"
"37","Borer Group & Pyne Buzzdog GbR"
"37","Borer Inc & Pinkie Buzzdog GmbH"
"38","Lang Inc & Trehearne Trilith AG"
"38","Lang Inc & Trahear Trilith GmbH"
"39","Kerluke and Sons & Hartles Twitterlist GbR"
"39","Kerluke and Sons & Hellis Twitterlist Gesellschaft mit beschränkter Haftung"
"40","Witting and Sons & Cellone Npath KG"
"40","Witting and Sons & Mellonby Npath GbR"
"41","Mante and Sons & Yashin Twitterbeat GmbH & Co KG"
"41","Mante and Sons & Whyman Twitterbeat GmbH & Co KG"
"42","Steuber and Sons & Taw Topiclounge GmbH"
"42","Steuber and Sons & Board Topiclounge KG"
"43","Ziemann and Sons & Avard Skinder GmbH & Co KG"
"43","Ziemann and Sons & Salvador Skinder GbR"
"44","Marquardt and Sons & Harring Snaptags AG"
"44","Marquardt and Sons & Clarkin Snaptags GmbH"
"45","Morar and Sons & Sang Thoughtstorm GmbH"
"45","Morar and Sons & Skace Thoughtstorm GmbH"
